date,close,volume
2020-01-02,339.0,31754120.0
2020-01-03,339.5,41811268.0
2020-01-06,332.0,45343057.0
2020-01-07,329.5,50879181.0
2020-01-08,329.5,37567748.0
2020-01-09,337.5,31481504.0
2020-01-10,339.5,27032115.0
2020-01-13,341.5,30663332.0
2020-01-14,346.0,30223993.0
2020-01-15,340.0,47434274.0
2020-01-16,334.5,55211420.0
2020-01-17,333.0,52060097.0
2020-01-20,333.0,32658203.0
2020-01-30,316.5,125451049.0
2020-01-31,320.0,62526055.0
2020-02-03,315.0,59560849.0
2020-02-04,325.0,51890496.0
2020-02-05,327.5,36601453.0
2020-02-06,332.5,29267094.0
2020-02-07,328.0,28798327.0
2020-02-10,327.5,30632424.0
2020-02-11,331.5,27524935.0
2020-02-12,335.0,37612639.0
2020-02-13,335.0,22757021.0
2020-02-14,335.0,16933683.0
2020-02-17,331.5,15937079.0
2020-02-18,322.0,61825604.0
2020-02-19,326.5,38781218.0
2020-02-20,325.5,27011736.0
2020-02-21,325.0,22813534.0
2020-02-24,320.0,41693680.0
2020-02-25,322.0,36195011.0
2020-02-26,318.5,60479362.0
2020-02-27,316.0,61250927.0
2020-03-02,311.0,79912942.0
2020-03-03,317.5,49679411.0
2020-03-04,320.5,42941146.0
2020-03-05,323.0,37861525.0
2020-03-06,315.0,51546760.0
2020-03-09,305.5,87871277.0
2020-03-10,307.0,71950130.0
2020-03-11,302.0,62216710.0
2020-03-12,294.0,113527351.0
2020-03-13,290.0,149995148.0
2020-03-16,276.5,103873228.0
2020-03-17,268.0,121323651.0
2020-03-18,260.0,117437643.0
2020-03-19,248.0,160811697.0
2020-03-20,270.0,157664726.0
2020-03-23,255.0,76466709.0
2020-03-24,267.5,81952933.0
2020-03-25,277.0,79447199.0
2020-03-26,280.0,52845633.0
2020-03-27,273.0,68752306.0
2020-03-30,267.5,49159956.0
2020-03-31,274.0,48837923.0
2020-04-01,271.5,44515034.0
2020-04-06,275.5,56392754.0
2020-04-07,283.0,48787346.0
2020-04-08,285.0,37912826.0
2020-04-09,283.0,27620430.0
2020-04-10,279.5,27252858.0
2020-04-13,278.5,22196596.0
2020-04-14,285.0,48809688.0
2020-04-15,287.5,55216434.0
2020-04-16,286.5,47815280.0
2020-04-17,306.5,116368201.0
2020-04-20,304.0,41381669.0
2020-04-21,295.0,61479357.0
2020-04-22,294.0,42192580.0
2020-04-23,295.5,39474478.0
2020-04-24,294.0,26008090.0
2020-04-27,298.0,38493406.0
2020-04-28,296.5,37395165.0
2020-04-29,299.0,44059301.0
2020-04-30,304.5,55126085.0
2020-05-04,295.0,71581861.0
2020-05-05,295.5,23547405.0
2020-05-06,296.0,34240479.0
2020-05-07,297.5,27621198.0
2020-05-08,297.5,32295893.0
2020-05-11,301.0,28727019.0
2020-05-12,295.0,52089788.0
2020-05-13,297.0,26156418.0
2020-05-14,293.0,34315948.0
2020-05-15,298.0,42494804.0
2020-05-18,290.0,84986065.0
2020-05-19,291.5,51250214.0
2020-05-20,294.0,32677994.0
2020-05-21,297.5,30997468.0
2020-05-22,292.0,40192923.0
2020-05-25,292.0,26803223.0
2020-05-26,295.5,33856481.0
2020-05-27,296.5,23375959.0
2020-05-28,294.0,28444568.0
2020-05-29,292.0,79774181.0
2020-06-01,295.5,35811214.0
2020-06-02,296.5,24771587.0
2020-06-03,301.0,65176337.0
2020-06-04,306.0,46572451.0
2020-06-05,311.5,42981262.0
2020-06-08,318.0,50302921.0
2020-06-09,319.0,36417082.0
2020-06-10,322.5,39984259.0
2020-06-11,320.5,50104255.0
2020-06-12,316.0,45992918.0
2020-06-15,309.5,51032404.0
2020-06-16,315.0,36608216.0
2020-06-17,315.0,34522968.0
2020-06-18,314.5,29044474.0
2020-06-19,314.5,48130280.0
2020-06-22,312.0,37374616.0
2020-06-23,315.0,41300084.0
2020-06-24,317.5,54147024.0
2020-06-29,312.0,56580892.0
2020-06-30,313.0,48991860.0
2020-07-01,317.5,29532342.0
2020-07-02,322.0,34526178.0
2020-07-03,329.5,53341987.0
2020-07-06,338.0,57256220.0
2020-07-07,338.5,59046323.0
2020-07-08,341.0,30538000.0
